rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4589,"Alphen a/d Rijn-Gouda","Alphen a/d Rijn - Gouda",8,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-01 05:44:01","2012-10-01 10:17:01",233
4590,Zutphen,"Apeldoorn - Zutphen, Arnhem Centraal - Zutphen, Deventer - Zutphen, Hengelo - Zutphen, Winterswijk - Zutphen","83,85,86,90,132",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-01 06:44:01","2012-10-01 08:35:01",88
4591,"Schiphol-Utrecht Centraal","Schiphol Airport - Utrecht Centraal",137,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-10-01 13:13:01","2012-10-01 15:27:02",98
4592,Hengelo-Enschede,"Enschede - Hengelo",92,,,"gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2012-10-01 14:22:01","2012-10-01 18:02:01",179
4593,"Lelystad C-Amsterdam C/Hilversum/Schiphol","Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-10-02 07:42:01","2012-10-02 10:31:01",142
4594,"Alkmaar-Den Helder","Alkmaar - Den Helder",162,,,"defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2012-10-02 08:16:01","2012-10-02 10:02:02",83
4595,"Rotterdam C-Hoek v H Strand","Hoek van Holland Strand - Rotterdam Centraal",9,,,"de weersomstandigheden","weather circumstances","de weersomstandigheden","weather circumstances",weather,"2012-10-02 08:41:01","2012-10-02 10:02:04",73
4596,"Breda-Rotterdam C","Breda - Rotterdam Centraal (HSL)",15,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-02 13:41:01","2012-10-02 16:10:01",117
4597,"Alkmaar-Den Helder/Enkhuizen/Heerhugowaard/Hoorn","Alkmaar - Den Helder, Alkmaar - Hoorn","162,163",,,"defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2012-10-02 20:54:01","2012-10-02 22:01:01",29
4598,Zwolle-Groningen/Leeuwarden,"Groningen - Zwolle, Leeuwarden - Zwolle","146,160",,,"sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2012-10-02 22:11:01","2012-10-02 22:33:01",14
